CDC,CSR,PSR,SS,SHS,"TOWN
(ALL)","CONTRACTOR/GRANTEE
(CDC)",ADDRESS,TOWN,ZIP,PHONE,EMAIL,"CONTRACTOR CONTACT
(SS)","PHONE
(SS)","EMAIL
(SS)","REPORTING CONTACT
(SS)","PHONE
(SS)","EMAIL
(SS)","CONTRACTOR/GRANTEE
(SHS)",ADDRESS,TOWN,ZIP,CONTACT PERSON,PHONE,EMAIL,DELEGATE,ADDRESS,TOWN,ZIP,DELEGATE CONTACT PERSON,PHONE,EMAIL,"PROGRAM/SITE/SUBGRANTEE 
(Registry Licensed Name)
(ALL)",ADDRESS,TOWN,ZIP,LICENSE #,NAEYC ID,NAEYC EXPIRATION,REGISTRY ID,FACILITY CODE (ECIS & PSIS),"PROGRAM/
SITE CONTACT
(CDC)","PHONE
(CDC)","EMAIL
(CDC)","PROGRAM/
SITE CONTACT
(SR)","PHONE
(SR)","EMAIL
(SR)","
SITE CONTACT (IF different from Contractor contact)
(SS)","PHONE
(SS)","EMAIL
(SS)","PROGRAM/
SITE CONTACT
(SHS)","PHONE
(SHS)","EMAIL
(SHS)","CONTACT LIAISON
(SR)",ADDRESS,TOWN,ZIP,PHONE,EMAIL,"REPORTING CONTACT
(CDC)",EMAIL,"FISCAL CONTACT 
(CDC)",EMAIL,"FISCAL CONTACT 
(SR)",EMAIL,"CHIEF ELECTED OFFICIAL, TITLE
(SR)",PHONE,EMAIL,"SUPERINTENDENT
(SR)",PHONE,EMAIL,"COUNCIL CHAIR/CO-CHAIRS-1
(SR)",ADDRESS,TOWN,ZIP,PHONE,EMAIL,"COUNCIL CHAIR/CO-CHAIRS-2
(SR)",ADDRESS,TOWN,ZIP,PHONE,EMAIL
X,X,,,,BRANFORD,"Jaime Cosgrove, Town of Branford",1019 Main Street,Branford,06405,203-488-8394,jcosgrove@branford-ct.gov,,,,,,,,,,,,,,,,,,,,,Branford Early Learning Center,16 Birch Road,Branford,06405,13900,285753,9/1/2019,1475,0140141,Diane Pappacoda,203-488-4512,dianepappacoda@yahoo.com,Diane Pappocoda,203-488-4512,dianepappacoda@yahoo.com,,,,,,,Carole Weisberg,1111 Main Street,Branford,06405,203-980-4385,branfordschoolreadiness@gmail.com,Diane Pappacoda,dianepappacoda@yahoo.com,Kathryn LaBanca,klbanca@branford-ct.gov,Donald A. Neel,dneel@branfordschools.org,"James Cosgrove, First Selectman",203-315-0620,jcosgrove@branford-ct.gov,"Hamlet Hernandez, Superintendent",203-488-7276,hhernandez@branfordschools.org,,,Branford,,,gvickstrom@yahoo.com,Dale Izzo,"1019 Main Street, P.O. Box 150",Branford,06405,203-488-8304,dizzo@branford-ct.gov
,X,,,,BRANFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,Branford FRC at Indian Neck School,12 Melrose Avenue,Branford,06405,DCEX 80579,421737,12/1/2023,1622,0148011,,,,Michele Krumenacker,203-481-5066,Mkrumenacker@branfordschools.org,,,,,,,Carole Weisberg,1111 Main Street,Branford,06405,203-980-4385,branfordschoolreadiness@gmail.com,,,,,Donald A. Neel,dneel@branfordschools.org,"James Cosgrove, First Selectman",203-315-0620,jcosgrove@branford-ct.gov,"Hamlet Hernandez, Superintendent",203-488-7276,hhernandez@branfordschools.org,,,Branford,,,gvickstrom@yahoo.com,Dale Izzo,"1019 Main Street, P.O. Box 150",Branford,06405,203-488-8304,dizzo@branford-ct.gov
X,,,,,BRIDGEPORT,"Tanya Lloyd, ABCD, Inc.",1070 Park Avenue,Bridgeport,06604,203-366-8241 x3268,tlloyd@alliancect.org,,,,,,,,,,,,,,,,,,,,,ABCD @ Harding High School,379 Bond Street,Bridgeport,06610,70430,Head Start,,8524,0154641,Francis Kalangala,203-366-8241,fkalangala@alliancect.org,,,,,,,,,,,,,,,,Francis Kalangala,fkalangala@alliancect.org,Indi A. Hayes,ihayes@alliancect.org,,,,,,,,,,,,,,,,,,,,
X,,,,,BRIDGEPORT,"Tanya Lloyd, ABCD, Inc.",1070 Park Avenue,Bridgeport,06604,203-366-8241 x3268,tlloyd@alliancect.org,,,,,,,,,,,,,,,,,,,,,ABCD at Cesar Batalla Child Care Center,927 Grand Street,Bridgeport,06604,15636,Head Start,,335,0150841,Francis Kalangala,203-366-8241,fkalangala@alliancect.org,,,,,,,,,,,,,,,,Francis Kalangala,fkalangala@alliancect.org,Rodney Dennis,ihayes@alliancect.org,,,,,,,,,,,,,,,,,,,,
X,,,,,BRIDGEPORT,"Tanya Lloyd, ABCD, Inc.",1070 Park Avenue,Bridgeport,06604,203-366-8241 x3268,tlloyd@alliancect.org,,,,,,,,,,,,,,,,,,,,,ABCD at the Church of the Holy Name of Jesus,1950 Barnum Avenue,Stratford,06614,16064,728491,2/1/2023,1421,1380341,Francis Kalangala,203-366-8241,fkalangala@alliancect.org,,,,,,,,,,,,,,,,Francis Kalangala,fkalangala@alliancect.org,Rodney Dennis,ihayes@alliancect.org,,,,,,,,,,,,,,,,,,,,
X,,X,,,BRIDGEPORT,"Tanya Lloyd, ABCD, Inc.",1070 Park Avenue,Bridgeport,06604,203-366-8241 x3268,tlloyd@alliancect.org,,,,,,,,,,,,,,,,,,,,,ABCD at Trumbull Gardens Child Care Center,715 Trumbull Avenue,Bridgeport,06606,16497,Head Start,,1581,0153141,Francis Kalangala,203-366-8241,fkalangala@alliancect.org,Veronica Argrinsini,203-371-5117,vargrinsini@alliancect.org,,,,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,Francis Kalangala,fkalangala@alliancect.org,Rodney Dennis,ihayes@alliancect.org,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
,,X,,,BRIDGEPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,ABCD at West End Child Care Center,361 Bird Street,Bridgeport,06605,16498,Head Start,,1580,0152941,,,,Veronica Argrinsini,203-371-5117,vargrinsini@alliancect.org,,,,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,,,,,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
X,,X,,X,BRIDGEPORT,"Tanya Lloyd, ABCD, Inc.",1070 Park Avenue,Bridgeport,06604,203-366-8241 x3268,tlloyd@alliancect.org,,,,,,,"ABCD, Inc.",1070 Park Avenue,Bridgeport,06604,Tanya Lloyd,203-366-8241 x3268,tlloyd@alliancect.org,,,,,,,,ABCD Inner City Children's Daycare Center,1070 Park Avenue,Bridgeport,06604,14425,275224,12/1/2020,296,0150941,Francis Kalangala,203-366-8241,fkalangala@alliancect.org,Tasha Younger,203-366-8241 x3273,tyounger@alliancect.org,,,,Tasha Younger,203-366-8241 x3273,tyounger@alliancect.org,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,Francis Kalangala,fkalangala@alliancect.org,Rodney Dennis,ihayes@alliancect.org,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
X,,,,,BRIDGEPORT,"Tanya Lloyd, ABCD, Inc.",1070 Park Avenue,Bridgeport,06604,203-366-8241 x3268,tlloyd@alliancect.org,,,,,,,,,,,,,,,,,,,,,ABCD Middlebrooks School Child Care Center,240 Middlebrooks Avenue,Trumbull,06611,16248,Head Start,,108,1440341,Francis Kalangala,203-366-8241,fkalangala@alliancect.org,,,,,,,,,,,,,,,,Francis Kalangala,fkalangala@alliancect.org,Rodney Dennis,ihayes@alliancect.org,,,,,,,,,,,,,,,,,,,,
X,,,,,BRIDGEPORT,"Tanya Lloyd, ABCD, Inc.",1070 Park Avenue,Bridgeport,06604,203-366-8241 x3268,tlloyd@alliancect.org,,,,,,,,,,,,,,,,,,,,,Cora Wright Early Learning Center,233 Bennet Street,Bridgeport,06604,16496,Head Start,,1548,0152841,Francis Kalangala,203-366-8241,fkalangala@alliancect.org,,,,,,,,,,,,,,,,Francis Kalangala,fkalangala@alliancect.org,Rodney Dennis,ihayes@alliancect.org,,,,,,,,,,,,,,,,,,,,
,,X,,,BRIDGEPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridgeport BOE at Barnum School,495 Waterview Avenue,Bridgeport,06608,Exempt,725334,4/1/2025,1689,0150111,,,,Melissa Jenkins,203-275-1262,mjenkins@bridgeportedu.net,,,,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,,,,,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
,,X,,,BRIDGEPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridgeport BOE at Beardsley School,500 Huntington Road,Bridgeport,06610,Exempt,725922,3/1/2022,1690,0150211,,,,Melissa Jenkins,203-275-1262,mjenkins@bridgeportedu.net,,,,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,,,,,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
,,X,,,BRIDGEPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridgeport BOE at Blackham School,425 Thorme Street,Bridgeport,06606,Exempt,724909,7/1/2023,1691,0154011,,,,Melissa Jenkins,203-275-1262,mjenkins@bridgeportedu.net,,,,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,,,,,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
,,X,,,BRIDGEPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridgeport BOE at Bryant School,230 Poplar Street,Bridgeport,06605,Exempt,724494,5/1/2024,1799,0150411,,,,Melissa Jenkins,203-275-1262,mjenkins@bridgeportedu.net,,,,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,,,,,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
,,X,,,BRIDGEPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridgeport BOE at Cesar Batalla School,606 Howard Avenue,Bridgeport,06605,DCEX 80560,724493,8/1/2024,1869,0151411,,,,Melissa Jenkins,203-275-1262,mjenkins@bridgeportedu.net,,,,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,,,,,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
,,,X,,BRIDGEPORT,,,,,,,Melissa Jenkins,203-275-1264,mjenkins@bridgeportedu.net,Melissa Jenkins,203-275-1264,mjenkins@bridgeportedu.net,,,,,,,,,,,,,,,Bridgeport BOE at Classical Studies Academy,659 Beechwood Avenue,Bridgeport,06605,Exempt,729270,8/1/2023,7466,Annex to 0152111,,,,,,,Lindsay Davis,203-275-4250,ldavis@bridgeportedu.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,,,BRIDGEPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridgeport BOE at Columbus School,275 George Street,Bridgeport,06604,Exempt,725333,2/1/2025,7503,0150511 ,,,,Melissa Jenkins,203-275-1262,mjenkins@bridgeportedu.net,,,,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,,,,,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
,,X,X,,BRIDGEPORT,,,,,,,Melissa Jenkins,203-275-1264,mjenkins@bridgeportedu.net,Melissa Jenkins,203-275-1264,mjenkins@bridgeportedu.net,,,,,,,,,,,,,,,Bridgeport BOE at Dunbar School,445 Union Avenue,Bridgeport,06607,Exempt,728860,9/1/2022,7218,0154111,,,,Melissa Jenkins,203-275-1262,mjenkins@bridgeportedu.net,Alyshia Perrin,203-275-3631,aperrin@bridgeportedu.net,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,,,,,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
,,X,,,BRIDGEPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridgeport BOE at Geraldine Claytor Magnet Academy,240 Ocean Terrace,Bridgeport,06605,Exempt,729273,7/1/2024,7259,0153111,,,,Melissa Jenkins,203-275-1262,mjenkins@bridgeportedu.net,,,,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,,,,,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
,,X,,,BRIDGEPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridgeport BOE at Geraldine Johnson School,475 Lexington Avenue,Bridgeport,06604,Exempt,579227,9/1/2023,1723,0153211,,,,Melissa Jenkins,203-275-1262,mjenkins@bridgeportedu.net,,,,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,,,,,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
,,X,,,BRIDGEPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridgeport BOE at Hallen School,68 Omega Avenue,Bridgeport,06606,Exempt,725335,3/1/2025,1679,0151211,,,,Melissa Jenkins,203-275-1262,mjenkins@bridgeportedu.net,,,,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,,,,,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
,,X,,,BRIDGEPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridgeport BOE at Luis Munoz Marin School,479 Helen Street,Bridgeport,06608,Exempt,725923,6/1/2022,6143,0151011,,,,Melissa Jenkins,203-275-1262,mjenkins@bridgeportedu.net,,,,,,,Lee Helmerich,45 Lyon Terrace,Bridgeport,06604,203-275-1265,lhelmerich@bridgeportedu.net,,,,,Michele Proscino,mproscino@cccymca.org,"Joseph Ganim, Mayor",203-576-7201,mayor@bridgeportct.gov,"Aresta Johnson, Superintendent",203-275-1000,ajohnson@bridgeportedu.net,Natisha Vidal,379 Bond Street,Bridgeport,06610,203-339-8835,nvidal@bridgeportedu.net,Tammy Papa,"45 Lyon Terrace, Room 301",Bridgeport,06604,203-576-7262,tammy.papa@bridgeportct.gov
