Site Name,Full Address,Preschool Spaces,Infant/Toddler Spaces,School Age Spaces,All Available Spaces,Facility Code,Town Code,Address,Town,ZIP Code,Latitude,Longitude,Town from Census,lat,lon,person_id,senator_district,senator_full_name,senator_first_name,senator_last_name,senator_party,representative_district,representative_full_name,representative_first_name,representative_last_name,representative_party
First Cong. Church Child Development Center,10 Wintonbury Avenue Bloomfield CT 06002,56.0,0.0,,56.0,FC0000110241,11.0,10 Wintonbury Avenue,Bloomfield,06002,41.83155,-72.73726,BLOOMFIELD,41.83155,-72.73725999999999,ocd-person/83a4e876-4df7-48ef-8a84-7d7940585af9,2,Douglas McCrory,Douglas,McCrory,Democratic,15,Bobby G. Gibson Jr.,Bobby,Gibson,Democratic
The First Academy,1151 Blue Hills Avenue Bloomfield CT 06002,20.0,0.0,,20.0,FC0000110541,11.0,1151 Blue Hills Avenue,Bloomfield,06002,41.83566,-72.69886,BLOOMFIELD,41.83566,-72.69886,ocd-person/83a4e876-4df7-48ef-8a84-7d7940585af9,2,Douglas McCrory,Douglas,McCrory,Democratic,15,Bobby G. Gibson Jr.,Bobby,Gibson,Democratic
Branford Early Learning Center,16 Birch Road Branford CT 06405,47.0,8.0,,55.0,FC0000140141,14.0,16 Birch Road,Branford,06405,41.271996,-72.78281,BRANFORD,41.271996,-72.78281,ocd-person/b56af509-8913-42b4-85bc-3df186448b01,12,Christine Cohen,Christine,Cohen,Democratic,98,Sean Scanlon,Sean,Scanlon,Democratic
Branford FRC at Indian Neck School,12 Melrose Avenue Branford CT 06405,11.0,0.0,,11.0,FC0000148011,14.0,12 Melrose Avenue,Branford,06405,41.268497,-72.807045,BRANFORD,41.268496999999996,-72.807045,ocd-person/5d963d6d-74c1-4282-9ad4-592c3760bead,12,Christine Cohen,Christine,Cohen,Democratic,102,Robin E. Comey,Robin,Comey,Democratic
ABCD at Cesar Batalla Child Care Center,927 Grand Street Bridgeport CT 06604,51.0,16.0,0.0,67.0,FC0000150841,15.0,927 Grand Street,Bridgeport,06604,41.183582,-73.20211,BRIDGEPORT,41.183582,-73.20211,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,128,Christopher Rosario,Christopher,Rosario,Democratic
ABCD at Harding High School,379 Bond Street Bridgeport CT 06610,0.0,16.0,0.0,16.0,FC0000154641,15.0,379 Bond Street,Bridgeport,06610,41.197983,-73.16806,BRIDGEPORT,41.197983,-73.16806,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,124,Andre F. Baker Jr.,Andre,Baker,Democratic
ABCD at Inner City Children's Daycare Center,1070 Park Avenue Bridgeport CT 06604,124.0,16.0,0.0,140.0,FC0000150941,15.0,1070 Park Avenue,Bridgeport,06604,41.175697,-73.199196,BRIDGEPORT,41.175697,-73.199196,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,128,Christopher Rosario,Christopher,Rosario,Democratic
ABCD at West End Child Care Center,361 Bird Street Bridgeport CT 06605,54.0,0.0,,54.0,FC0000152941,15.0,361 Bird Street,Bridgeport,06605,41.16358,-73.21491,BRIDGEPORT,41.163579999999996,-73.21491,ocd-person/cb252e7b-fffb-4bda-b951-d2b54a3c37e3,22,Marilyn V. Moore,Marilyn,Moore,Democratic,129,Steven J. Stafstrom,Steven,Stafstrom,Democratic
Bridgeport BOE at Barnum School,495 Waterview Avenue Bridgeport CT 06608,18.0,0.0,,18.0,FC0000150111,15.0,495 Waterview Avenue,Bridgeport,06608,41.183456,-73.1738,BRIDGEPORT,41.183456,-73.1738,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
Bridgeport BOE at Beardsley School,500 Huntington Road Bridgeport CT 06610,28.0,0.0,,28.0,FC0000150211,15.0,500 Huntington Road,Bridgeport,06610,41.199448,-73.18211,BRIDGEPORT,41.199448,-73.18211,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,124,Andre F. Baker Jr.,Andre,Baker,Democratic
Bridgeport BOE at Blackham School,425 Thorme Street Bridgeport CT 06606,36.0,0.0,,36.0,FC0000154011,15.0,425 Thorme Street,Bridgeport,06606,41.20624,-73.21315,BRIDGEPORT,41.20624,-73.21315,ocd-person/41d83b98-d5ab-48db-b847-3a3e08194b4c,22,Marilyn V. Moore,Marilyn,Moore,Democratic,127,"John ""Jack"" F. Hennessy",John,Hennessy,Democratic
Bridgeport BOE at Bryant School,230 Poplar Street Bridgeport CT 06605,18.0,0.0,,18.0,FC0000150411,15.0,230 Poplar Street,Bridgeport,06605,41.173603,-73.214386,BRIDGEPORT,41.173603,-73.214386,ocd-person/41d83b98-d5ab-48db-b847-3a3e08194b4c,22,Marilyn V. Moore,Marilyn,Moore,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
Bridgeport BOE at Cesar Batalla School,606 Howard Avenue Bridgeport CT 06605,36.0,0.0,,36.0,FC0000151411,15.0,606 Howard Avenue,Bridgeport,06605,41.17009,-73.208755,BRIDGEPORT,41.17009,-73.20875500000001,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
Bridgeport BOE at Classical Studies Academy,659 Beechwood Avenue Bridgeport CT 06605,15.0,0.0,,15.0,FC0000152111,15.0,659 Beechwood Avenue,Bridgeport,06605,41.176327,-73.21522,BRIDGEPORT,,,,,,,,,,,,,
Bridgeport BOE at Columbus School,275 George Street Bridgeport CT 06604,36.0,0.0,,36.0,FC0000150511,15.0,275 George Street,Bridgeport,06604,41.185753,-73.19831,BRIDGEPORT,41.185753000000005,-73.19830999999999,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,128,Christopher Rosario,Christopher,Rosario,Democratic
Bridgeport BOE at Dunbar School,445 Union Avenue Bridgeport CT 06607,33.0,0.0,,33.0,FC0000154111,15.0,445 Union Avenue,Bridgeport,06607,41.177917,-73.16438,BRIDGEPORT,41.177917,-73.16438000000001,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,124,Andre F. Baker Jr.,Andre,Baker,Democratic
Bridgeport BOE at Geraldine Claytor Magnet Academy,240 Ocean Terrace Bridgeport CT 06605,18.0,0.0,,18.0,FC0000153111,15.0,240 Ocean Terrace,Bridgeport,06605,41.162304,-73.21864,BRIDGEPORT,41.162304,-73.21864000000001,ocd-person/cb252e7b-fffb-4bda-b951-d2b54a3c37e3,22,Marilyn V. Moore,Marilyn,Moore,Democratic,129,Steven J. Stafstrom,Steven,Stafstrom,Democratic
Bridgeport BOE at Geraldine Johnson School,475 Lexington Avenue Bridgeport CT 06604,18.0,0.0,,18.0,FC0000153211,15.0,475 Lexington Avenue,Bridgeport,06604,41.185314,-73.20261,BRIDGEPORT,41.185314,-73.20260999999999,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,128,Christopher Rosario,Christopher,Rosario,Democratic
Bridgeport BOE at Hallen School,68 Omega Avenue Bridgeport CT 06606,18.0,0.0,,18.0,FC0000151211,15.0,68 Omega Avenue,Bridgeport,06606,41.216988,-73.191345,BRIDGEPORT,41.216988,-73.191345,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,126,Charlie L. Stallworth,Charlie,Stallworth,Democratic
Bridgeport BOE at Luis Munoz Marin School,479 Helen Street Bridgeport CT 06608,18.0,0.0,,18.0,FC0000151011,15.0,479 Helen Street,Bridgeport,06608,41.19356,-73.17405,BRIDGEPORT,41.19356,-73.17405,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,128,Christopher Rosario,Christopher,Rosario,Democratic
Bridgeport BOE at Park City Magnet School,1526 Chopsey Hill Road Bridgeport CT 06606,33.0,0.0,,33.0,FC0000151711,15.0,1526 Chopsey Hill Road,Bridgeport,06606,41.22127,-73.20153,BRIDGEPORT,41.221270000000004,-73.20153,ocd-person/41d83b98-d5ab-48db-b847-3a3e08194b4c,22,Marilyn V. Moore,Marilyn,Moore,Democratic,126,Charlie L. Stallworth,Charlie,Stallworth,Democratic
Bridgeport BOE at Read School,130 Ezra Street Bridgeport CT 06606,36.0,0.0,,36.0,FC0000152511,15.0,130 Ezra Street,Bridgeport,06606,41.202137,-73.198814,BRIDGEPORT,41.202137,-73.198814,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,126,Charlie L. Stallworth,Charlie,Stallworth,Democratic
Bridgeport BOE at Roosevelt School,680 Park Avenue Bridgeport CT 06604,36.0,0.0,,36.0,FC0000152611,15.0,680 Park Avenue,Bridgeport,06604,41.171246,-73.19582,BRIDGEPORT,41.171246000000004,-73.19582,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
Bridgeport BOE at Skane School,2977 Madison Avenue Bridgeport CT 06606,72.0,0.0,,72.0,FC0000154411,15.0,2977 Madison Avenue,Bridgeport,06606,41.214256,-73.22697,BRIDGEPORT,41.214256,-73.22697,ocd-person/41d83b98-d5ab-48db-b847-3a3e08194b4c,22,Marilyn V. Moore,Marilyn,Moore,Democratic,127,"John ""Jack"" F. Hennessy",John,Hennessy,Democratic
Bridgeport BOE at Tisdale School,250 Hollister Avenue Bridgeport CT 06606,36.0,0.0,,36.0,FC0000152211,15.0,250 Hollister Avenue,Bridgeport,06606,41.178284,-73.16078,BRIDGEPORT,41.178284000000005,-73.16078,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,124,Andre F. Baker Jr.,Andre,Baker,Democratic
Bridgeport BOE at Waltersville School,150 Hallett Street Bridgeport CT 06608,18.0,0.0,,18.0,FC0000153011,15.0,150 Hallett Street,Bridgeport,06608,41.182224,-73.176216,BRIDGEPORT,41.182224,-73.176216,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
Bridgeport BOE at Winthrop School,85 Eckart Street Bridgeport CT 06606,15.0,0.0,,15.0,FC0000153611,15.0,85 Eckart Street,Bridgeport,06606,41.220753,-73.234146,BRIDGEPORT,41.220753,-73.234146,ocd-person/41d83b98-d5ab-48db-b847-3a3e08194b4c,22,Marilyn V. Moore,Marilyn,Moore,Democratic,127,"John ""Jack"" F. Hennessy",John,Hennessy,Democratic
Bridgeport YMCA/Kolbe Educational Center,401 Kossuth Street Bridgeport CT 06608,147.0,38.0,,185.0,FC0000152741,15.0,401 Kossuth Street,Bridgeport,06608,41.183865,-73.18285,BRIDGEPORT,41.183865000000004,-73.18285,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
Bridgeport YMCA/SECC PALS 1 Child Care Center,650 Park Avenue Bridgeport CT 06604,36.0,0.0,,36.0,FC0000152341,15.0,650 Park Avenue,Bridgeport,06604,41.170895,-73.19556,BRIDGEPORT,41.170895,-73.19556,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
Bulls Head Hollow Head Start (ABCD),108 Sanford Avenue Bridgeport CT 06604,0.0,11.0,0.0,11.0,FC0000151341,15.0,108 Sanford Avenue,Bridgeport,06604,41.182594,-73.196266,BRIDGEPORT,41.182594,-73.19626600000001,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,128,Christopher Rosario,Christopher,Rosario,Democratic
CES School Readiness,40 Lindeman Drive Trumbull CT 06611,90.0,0.0,,90.0,FC0002438014,15.0,40 Lindeman Drive,Trumbull,06611,41.23191,-73.20029,TRUMBULL,41.23191,-73.20029,ocd-person/41d83b98-d5ab-48db-b847-3a3e08194b4c,22,Marilyn V. Moore,Marilyn,Moore,Democratic,134,Laura M. Devlin,Laura,Devlin,Republican
Charles B. Tisdale Early Learning Center,1795 Stratford Avenue Bridgeport CT 06607,92.0,0.0,,92.0,FC0000154041,15.0,1795 Stratford Avenue,Bridgeport,06607,41.18168,-73.15744,BRIDGEPORT,41.18168,-73.15744000000001,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,124,Andre F. Baker Jr.,Andre,Baker,Democratic
Cheyenne's Early Learning Center,4600 Main Street Bridgeport CT 06606,61.0,0.0,,61.0,FC0000153741,15.0,4600 Main Street,Bridgeport,06606,41.222267,-73.217995,BRIDGEPORT,41.222266999999995,-73.217995,ocd-person/41d83b98-d5ab-48db-b847-3a3e08194b4c,22,Marilyn V. Moore,Marilyn,Moore,Democratic,126,Charlie L. Stallworth,Charlie,Stallworth,Democratic
Child's World,1245 Fairfield Avenue Bridgeport CT 06605,83.0,0.0,,83.0,FC0000150141,15.0,1245 Fairfield Avenue,Bridgeport,06605,41.17388,-73.207886,BRIDGEPORT,41.17388,-73.207886,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
Cora Wright Early Learning Center (ABCD),233 Bennet Street Bridgeport CT 06604,0.0,42.0,0.0,42.0,FC0000152841,15.0,233 Bennet Street,Bridgeport,06604,41.15837,-73.23013,BRIDGEPORT,41.15837,-73.23013,ocd-person/cb252e7b-fffb-4bda-b951-d2b54a3c37e3,22,Marilyn V. Moore,Marilyn,Moore,Democratic,129,Steven J. Stafstrom,Steven,Stafstrom,Democratic
Early Childhood Laboratory School (HCC),900 Lafayette Bridgeport CT 06604,36.0,0.0,,36.0,FC0000151941,15.0,900 Lafayette,Bridgeport,06604,41.175335,-73.19232,BRIDGEPORT,41.175335,-73.19232,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
"Hall Neighborhood House or Care Around the Clock or ""Hollywood House""",52 George E. Pipkin Way Bridgeport CT 06608,170.0,80.0,0.0,250.0,FC0000151841,15.0,52 George E. Pipkin Way,Bridgeport,06608,41.165653,-73.18525,BRIDGEPORT,,,,,,,,,,,,,
Jamie A. Hulley Child Care Center,460 Lafayette Street Bridgeport CT 06604,62.0,16.0,0.0,78.0,FC0000151241,15.0,460 Lafayette Street,Bridgeport,06604,41.16935,-73.18919,BRIDGEPORT,41.16935,-73.18919,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
Kingdom's Little Ones Academy,729 Union Street Bridgeport CT 06607,30.0,0.0,,30.0,FC0000153041,15.0,729 Union Street,Bridgeport,06607,41.18196,-73.165306,BRIDGEPORT,41.18196,-73.165306,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,124,Andre F. Baker Jr.,Andre,Baker,Democratic
Lindsey's House Early Learning Center,625 North Avenue Bridgeport CT 06606,19.0,0.0,,19.0,FC0000154541,15.0,625 North Avenue,Bridgeport,06606,41.19562,-73.194145,BRIDGEPORT,41.19562,-73.19414499999999,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,128,Christopher Rosario,Christopher,Rosario,Democratic
Loveable Angels Childcare Learning Center,1825 East Main Street Bridgeport CT 06610,39.0,0.0,,39.0,FC0000153841,15.0,1825 East Main Street,Bridgeport,06610,41.199482,-73.180244,BRIDGEPORT,41.199482,-73.18024399999999,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,124,Andre F. Baker Jr.,Andre,Baker,Democratic
Lucille Johnson Child Care Center (ABCD),816 Fairfield Avenue Bridgeport CT 06604,0.0,16.0,0.0,16.0,FC0000150741,15.0,816 Fairfield Avenue,Bridgeport,06604,41.174557,-73.20041,BRIDGEPORT,41.174557,-73.20040999999999,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,128,Christopher Rosario,Christopher,Rosario,Democratic
Precious Memories Early Childhood Learning Center [I],3600 Main Street Bridgeport CT 06606,44.0,0.0,,44.0,FC0000152141,15.0,3600 Main Street,Bridgeport,06606,41.21038,-73.209114,BRIDGEPORT,41.21038,-73.209114,ocd-person/41d83b98-d5ab-48db-b847-3a3e08194b4c,22,Marilyn V. Moore,Marilyn,Moore,Democratic,126,Charlie L. Stallworth,Charlie,Stallworth,Democratic
Precious Memories Early Childhood Learning Center III,nan Bridgeport CT ,25.0,0.0,,25.0,FC0000154741,15.0,,Bridgeport,,41.165653,-73.18525,BRIDGEPORT,41.165653000000006,-73.18525,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
Precious Memories Early Childhood Learning Center IV,1332 North Avenue Bridgeport CT 06604,18.0,0.0,,18.0,FC0000153941,15.0,1332 North Avenue,Bridgeport,06604,41.187675,-73.201836,BRIDGEPORT,41.187675,-73.201836,ocd-person/cb252e7b-fffb-4bda-b951-d2b54a3c37e3,23,Dennis A. Bradley,Dennis,Bradley,Democratic,129,Steven J. Stafstrom,Steven,Stafstrom,Democratic
Precious Memories Early Childhood Lrng Ctr II,753 Fairfield Avenue Bridgeport CT 06604,31.0,0.0,,31.0,FC0000153241,15.0,753 Fairfield Avenue,Bridgeport,06604,41.17459,-73.1997,BRIDGEPORT,41.17459,-73.1997,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
St. Mark's Day Care Center,368-370 Newfield Avenue Bridgeport CT 06607,29.0,40.0,10.0,79.0,FC0000152541,15.0,368-370 Newfield Avenue,Bridgeport,06607,41.17365,-73.16827,BRIDGEPORT,41.17365,-73.16826999999999,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,124,Andre F. Baker Jr.,Andre,Baker,Democratic
St. Paul's Child Development Center,1475 Noble Avenue Bridgeport CT 06610,52.0,0.0,,52.0,FC0000152241,15.0,1475 Noble Avenue,Bridgeport,06610,41.202045,-73.183975,BRIDGEPORT,41.202045,-73.183975,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,126,Charlie L. Stallworth,Charlie,Stallworth,Democratic
YMCA PALS V Day Care,850 Park Avenue Bridgeport CT 06604,37.0,0.0,,37.0,FC0000152441,15.0,850 Park Avenue,Bridgeport,06604,41.17318,-73.19731,BRIDGEPORT,41.17318,-73.19731,ocd-person/fa722794-9212-4794-b381-04d0f1d65cff,23,Dennis A. Bradley,Dennis,Bradley,Democratic,130,Antonio Felipe,Antonio,Felipe,Democratic
Bristol BOE at Hubbell School,90 West Washington Street Bristol CT 06010,32.0,0.0,,32.0,FC0000171411,17.0,90 West Washington Street,Bristol,06010,41.677853,-72.90913,BRISTOL,41.677853000000006,-72.90913,ocd-person/ca8be710-988a-4415-bc37-6d3a92d1afcd,31,Henri Martin,Henri,Martin,Republican,77,Cara Christine Pavalock-D'Amato,Cara,Pavalock-D'Amato,Republican
Bristol BOE at Ivy Drive,160 Ivy Drive Bristol CT 06010,30.0,0.0,,30.0,FC0000171911,17.0,160 Ivy Drive,Bristol,06010,41.705845,-72.90141,BRISTOL,41.705845000000004,-72.90141,ocd-person/ca8be710-988a-4415-bc37-6d3a92d1afcd,31,Henri Martin,Henri,Martin,Republican,77,Cara Christine Pavalock-D'Amato,Cara,Pavalock-D'Amato,Republican
Bristol BOE at Mountain View School,71 Vera Road Bristol CT 06010,32.0,0.0,,32.0,FC0000171711,17.0,71 Vera Road,Bristol,06010,41.69445,-72.89881,BRISTOL,41.69445,-72.89881,ocd-person/ca8be710-988a-4415-bc37-6d3a92d1afcd,31,Henri Martin,Henri,Martin,Republican,77,Cara Christine Pavalock-D'Amato,Cara,Pavalock-D'Amato,Republican
Bristol BOE at South Side School,21 Tuttle Road Bristol CT 06010,55.0,0.0,,55.0,FC0000171111,17.0,21 Tuttle Road,Bristol,06010,41.660088,-72.95322,BRISTOL,41.660088,-72.95322,ocd-person/ca8be710-988a-4415-bc37-6d3a92d1afcd,31,Henri Martin,Henri,Martin,Republican,79,Christopher Ziogas,Christopher,Ziogas,Democratic
"Bristol Preschool Child Care Center, Inc.",291 Burlington Avenue Bristol CT 06010,55.0,31.0,0.0,86.0,FC0000171041,17.0,291 Burlington Avenue,Bristol,06010,41.68957,-72.943275,BRISTOL,41.68957,-72.943275,ocd-person/ed8c3238-f1f8-451c-8906-8feca116a025,31,Henri Martin,Henri,Martin,Republican,78,Whit Betts,Whit,Betts,Republican
Bristol Preschool Child Care Center-West Street,339 West Street Bristol CT 06610,85.0,0.0,,85.0,FC0000170341,17.0,339 West Street,Bristol,06610,41.67627,-72.95053,BRISTOL,41.67627,-72.95053,ocd-person/ed8c3238-f1f8-451c-8906-8feca116a025,31,Henri Martin,Henri,Martin,Republican,78,Whit Betts,Whit,Betts,Republican
CRT Bristol Head Start-Lake Avenue,254 Lake Avenue Bristol CT 06010,,0.0,,0.0,FC0000170141,17.0,254 Lake Avenue,Bristol,06010,41.659126,-72.92279,BRISTOL,41.659126,-72.92279,ocd-person/ca8be710-988a-4415-bc37-6d3a92d1afcd,31,Henri Martin,Henri,Martin,Republican,79,Christopher Ziogas,Christopher,Ziogas,Democratic
CRT Bristol Head Start-South Street,55 South Street Bristol CT 06010,,0.0,,0.0,FC0000170641,17.0,55 South Street,Bristol,06010,41.667732,-72.946236,BRISTOL,41.667732,-72.946236,ocd-person/ca8be710-988a-4415-bc37-6d3a92d1afcd,31,Henri Martin,Henri,Martin,Republican,79,Christopher Ziogas,Christopher,Ziogas,Democratic
Imagine Nation-A Museum Early Learning Center,1 Pleasant Street Bristol CT 06010,119.0,0.0,,119.0,FC0000170441,17.0,1 Pleasant Street,Bristol,06010,41.670135,-72.94582,BRISTOL,41.670134999999995,-72.94582,ocd-person/ca8be710-988a-4415-bc37-6d3a92d1afcd,31,Henri Martin,Henri,Martin,Republican,79,Christopher Ziogas,Christopher,Ziogas,Democratic
Brooklyn BOE at Brooklyn Elementary School,119 Gorman Road Brooklyn CT 06234,24.0,0.0,,24.0,FC0000190111,19.0,119 Gorman Road,Brooklyn,06234,41.782314,-71.93604,BROOKLYN,,,,,,,,,,,,,
Carelot Children's Center - Brooklyn,86 South Main Street Brooklyn CT 06234,9.0,10.0,0.0,19.0,FC0000190141,19.0,86 South Main Street,Brooklyn,06234,41.799595,-71.89652,BROOKLYN,41.799595000000004,-71.89652,ocd-person/50e78f89-a9e7-43f5-9566-a9f2cb23a5c9,29,Mae Flexer,Mae,Flexer,Democratic,50,Patrick S. Boyd,Patrick,Boyd,Democratic
